type,difficulty,category,question,correct_answer,option1,option2,option3,option4
multiple,medium,Entertainment: Film,"The 1939 movie 'The Wizard of Oz' contained a horse that changed color, what material did they use to achieve this effect?",Gelatin,CGI Effect,Gelatin,Dye,Paint
multiple,easy,Entertainment: Television,"Which show is known for the songs 'You are a Pirate', 'Cooking by the Book' and 'We Are Number One'?",LazyTown,LazyTown,Sofia the First,DuckTales,Tom and Jerry
multiple,hard,General Knowledge,Which of the following  British Monarchs never appeared on a circulated pound sterling coin?,Edward VIII,Edward VIII,Victoria,Charles II,George VI
multiple,medium,Entertainment: Japanese Anime & Manga,"In the 'Re:Zero' manga series, which of the following Sin Archbishops eats Rem's existence?",Ley Batenkaitos,Ley Batenkaitos,Louis Arneb,Petelgeuse Romanee-Conti,Roy Alphard
multiple,medium,Mythology,Hera is god of...,Marriage,Marriage,Sea,War,Agriculture
multiple,medium,Sports,What year was hockey legend Wayne Gretzky born?,1961,1961,1959,1965,1963
multiple,medium,Entertainment: Video Games,"In Left 4 Dead, what is the name of the virus, as designated by CEDA, that causes most humans to turn into the Infected?",Green Flu,Raspberry Sniffles,T-Virus,Green Flu,Yellow Fever
multiple,medium,Entertainment: Japanese Anime & Manga,What year did 'Bishoujo Senshi Sailor Moon' air in Japan?,1992,1989,1994,1990,1992
multiple,hard,Science & Nature,How long is a light-year?,9.461 Trillion Kilometres,1 AU,501.2 Million Miles,9.461 Trillion Kilometres,105.40 Earth-years
multiple,medium,Entertainment: Music,Who was walking like an Egyptian in 1981?,The Bangles,The Ocean Blue,The Connells,R.E.M.,The Bangles
multiple,hard,Science & Nature,What genetic disease is caused by having an extra Y chromosome (XYY)?,Jacob's Syndrome,Klinefelter's Syndrome,Down Syndrome,Jacob's Syndrome,Turner's Syndrome
boolean,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,True,,False,True,
multiple,easy,General Knowledge,Which of the following blood component forms a plug at the site of injuries?,Platelets,Red blood cells,Platelets,Blood plasma,White blood cells
boolean,easy,Geography,Alaska is the largest state in the United States.,True,,False,,True
multiple,easy,General Knowledge,"Who invented the first ever chocolate bar, in 1847?",Joseph Fry,Joseph Fry,John Tyler,Andrew Johnson,John Cadbury
multiple,hard,Entertainment: Cartoon & Animations,"In 'Gravity Falls', what does Quentin Trembley do when he is driven out from the White House?",Eat a salamander and jump out the window.,Leave in peace.,"Release 1,000 captive salamanders into the white house.",Eat a salamander and jump out the window.,Jump out the window.
multiple,medium,General Knowledge,"According to the United States' CDC, one in how many Americans die annually due to smoking?",Five,One hundred,Five,Twenty,Ten
multiple,medium,General Knowledge,Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?,Yale University,Columbia University,Yale University,Princeton University,Harvard University
multiple,medium,Entertainment: Music,"From which album is the Gorillaz song, 'On Melancholy Hill' featured in?",Plastic Beach,Humanz,The Fall,Demon Days,Plastic Beach
boolean,easy,Entertainment: Music,"Korean girl group, TWICE, consists of 9 members",True,False,,,True
multiple,easy,Science & Nature,The human heart has how many chambers?,4,4,6,2,3
multiple,medium,Entertainment: Video Games,"In Left 4 Dead, which campaign has the protagonists going through a subway in order to reach a hospital for evacuation?",No Mercy,Subway Sprint,Blood Harvest,Hospital Havoc,No Mercy
multiple,easy,Entertainment: Video Games,What was the name of the canceled projected by Blizzard Entertainment that would be later become Overwatch?,Titan,Omega,Omnic,Ghost,Titan
multiple,hard,Science: Mathematics,The French mathematician &Eacute;variste Galois is primarily known for his work in which?,Galois Theory,Galois' Continued Fractions,Abelian Integration,Galois Theory,Galois' Method for PDE's 
multiple,hard,Geography,"Bir Tawil, an uninhabited track of land claimed by no country, is located along the border of which two countries?",Egypt and Sudan,Israel and Jordan,Chad and Libya,Egypt and Sudan,Iraq and Saudi Arabia
multiple,medium,Entertainment: Cartoon & Animations,"In 'SpongeBob SquarePants', what is the name of Sandy Cheek's place of residence?",Sandy's Treedome,Sandy's Bubble,Auquatic Reseach Centre,Sandy's Treedome,'The Dome'
multiple,easy,Science: Computers,What does the 'MP' stand for in MP3?,Moving Picture,Multi Pass,Micro Point,Moving Picture,Music Player
multiple,medium,History,Which country gifted the Statue of Liberty to the United States of America?,France,England,Germany,France,Spain
multiple,easy,Entertainment: Music,Who wrote the Sinead O`Connor hit 'Nothing Compares 2 U'?,Prince,Cameo,Rick James,Michael Jackson,Prince
multiple,hard,Science & Nature,Which horizon in a soil profile consists of bedrock?,R,R,D,B,O
multiple,easy,Entertainment: Video Games,Which psychopath(s) in Dead Rising 1 gave you the small chainsaw?,Adam the Clown,Cliff Hudson,The convicts,Adam the Clown,Larry the butcher
boolean,easy,Entertainment: Video Games,"In the game Dead by Daylight, the killer Michael Myers is refered to as 'The Shape'.",True,True,,,False
multiple,medium,Science: Mathematics,Which mathematician refused the Fields Medal?,Grigori Perelman,Terence Tao,Grigori Perelman,Edward Witten,Andrew Wiles
multiple,medium,Entertainment: Video Games,"In the Mario series, which game introduced Mario's Backflip ability?",Donkey Kong (Gameboy),Super Mario 3D Land,Donkey Kong (Gameboy),Super Mario 64,Super Mario Galaxy
multiple,hard,History,Which of the following was not one of Joseph Stalin's ten blows during World War II?,Vistula-Oder Offensive,Crimean Offensive,Leningrad-Novgorod Offensive,Operation Bagration,Vistula-Oder Offensive
boolean,medium,Science: Computers,Android versions are named in alphabetical order.,True,False,,,True
multiple,hard,Science & Nature,What is the molecular formula of Glucose?,C6H12O6,C6H12O6,K+,C2H4O2,CH4
multiple,hard,Science: Computers,Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?,Cherry MX Blue,Cherry MX Black,Cherry MX Brown,Cherry MX Red,Cherry MX Blue
multiple,medium,Entertainment: Television,In what year did 'The Big Bang Theory' debut on CBS?,2007,2008,2006,2009,2007
multiple,medium,Entertainment: Music,Which of these languages was NOT included in the 2016 song 'Don't Mind' by Kent Jones?,Portuguese,Japanese,French,Portuguese,Spanish
multiple,medium,Entertainment: Video Games,Which company developed the video game 'Borderlands'?,Gearbox Software,2K Games,Gearbox Software,Rockstar Games,Activision
multiple,easy,Entertainment: Video Games,What is the name of the main healing item in Dark Souls?,Estus Flask,Health Potion,Estus Flask,Ashen Flask,Orange Juice
multiple,hard,Science: Computers,The Harvard architecture for micro-controllers added which additional bus?,Instruction,Instruction,Data,Address,Control
multiple,hard,Entertainment: Video Games,"Counting the Blood and Wine DLC, how many Hero Cards are there in total in The Witcher 3?",25,25,15,30,20
multiple,medium,Entertainment: Video Games,What is the punishment for playing Postal 2 in New Zealand?,"10 years in prison and a fine of $50,000",Nothing,"15 years in prison and a fine of $10,000","10 years in prison and a fine of $50,000","Fine of $5,000"
multiple,medium,Entertainment: Film,Which one of these actors is said to be cut from the film 'E.T. the Extra-Terrestrial'?,Harrison Ford,Arnold Schwarzenegger,Andy Kaufman,Harrison Ford,Michael J. Fox
multiple,hard,Entertainment: Film,"What three movies, in order from release date, make up the 'Dollars Trilogy'?","'A Fistful of Dollars', 'For a Few Dollars More', 'The Good, the Bad, and the Ugly'","'The Good, the Bad, and the Ugly', 'For A Few Dollars More', 'A Fistful of Dollars'","'For a Few Dollars More', 'The Good, the Bad, and the Ugly', 'A Fistful of Dollars'","'A Fistful of Dollars', 'For a Few Dollars More', 'The Good, the Bad, and the Ugly'","'For a Few Dollars More', 'A Fistful of Dollars', 'The Good, the Bad, and the Ugly'"
multiple,easy,Entertainment: Video Games,Which Pok&eacute;mon can learn the move 'Secret Power' by leveling up?,Audino,Arceus,Audino,Type:Null,Silvally
multiple,hard,Entertainment: Video Games,"In the 'Call Of Duty: Zombies' map 'Origins', where is 'Stamin-Up' located?",Generator 5,Excavation Site,Generator 5,Generator 3,Generator 4
multiple,medium,Entertainment: Video Games,Just Cause 2 was mainly set in what fictional Southeast Asian island country?,Panau,Panau,Macau,Palau,Davao
multiple,medium,Mythology,A minotaur is half human half what?,Bull,Eagle,Bull,Cow,Horse
multiple,easy,Science: Computers,"In computing, what does MIDI stand for?",Musical Instrument Digital Interface,Musical Instrument Data Interface,Musical Instrument Digital Interface,Musical Interface of Digital Instruments,Modular Interface of Digital Instruments
multiple,hard,Science: Computers,The internet domain .fm is the country-code top-level domain for which Pacific Ocean island nation?,Micronesia,Micronesia,Marshall Islands,Tuvalu,Fiji
multiple,easy,Entertainment: Japanese Anime & Manga,"In Digimon, what is the Japanese name for the final evolutionary stage?",Ultimate,Mega,Ultimate,Champion,Adult
multiple,medium,Celebrities,When was Elvis Presley born?,"January 8, 1935","December 13, 1931","July 18, 1940","April 17, 1938","January 8, 1935"
boolean,easy,Entertainment: Video Games,Big the Cat is a playable character in 'Sonic Generations'.,False,False,True,,
multiple,easy,Science & Nature,How many bones are in the human body?,206,209,200,203,206
boolean,medium,History,Oxford University is older than the Aztec Empire. ,True,True,,False,
boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",True,,,True,False
multiple,easy,Entertainment: Japanese Anime & Manga,What is the last name of Edward and Alphonse in the Fullmetal Alchemist series.,Elric,Elric,Elwood,Ellis,Eliek
multiple,easy,Entertainment: Video Games,Which character was introduced to the Super Smash Bros franchise in Super Smash Bros Melee?,Sheik,Samus,Lucas,Mega Man,Sheik
multiple,easy,History,Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,Sword,Juno,Gold,Silver
multiple,medium,Entertainment: Music,What musician made the song 'Fuckin` Perfect' in 2010?,P!nk,Koven,P!nk,Adam lambert,Mitis
multiple,medium,Politics,"Due to the Nagoya Resolution, China agreed to allow Taiwan to compete separately in international sporting events under what name?",Chinese Taipei,Republic of Taipei ,Chinese Taiwan,Republic of Taiwan,Chinese Taipei
multiple,medium,Entertainment: Video Games,"In Need For Speed: Most Wanted (2005), how many people are there to defeat on the blacklist?",15,15,20,10,5
boolean,easy,Entertainment: Books,"'Elementary, my dear Watson' is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True,False,,True,
multiple,easy,Entertainment: Video Games,Which Game Boy from the Game Boy series of portable video game consoles was released first?,Game Boy Color,Game Boy Color,Game Boy Advance SP,Game Boy Advance,Game Boy Micro
multiple,easy,Entertainment: Video Games,Who created the indie adventure game 'Night in the Woods'?,Alec Holowka,Ron Gilbert, Tommy Refenes,Tim Schafer,Alec Holowka
multiple,medium,Sports,Which car manufacturer won the 2017 24 Hours of Le Mans?,Porsche,Toyota,Chevrolet,Audi,Porsche
multiple,hard,Entertainment: Film,What is the species of the 'Predator' in the 1987 movie 'Predator'?,Yautja,Xenomorph,Yautja,Phocrex,Praetorian
multiple,easy,Entertainment: Music,"The band Muse released their first album, Showbiz, in what year?",1999,2000,1999,2001,1998
multiple,hard,Science: Mathematics,The notion of a 'set that contains all sets which do not contain themselves' is a paradoxical idea attributed to which English philospher?,Bertrand Russel,John Locke,Alfred North Whitehead,Bertrand Russel,Francis Bacon
multiple,medium,Geography,What tiny principality lies between Spain and France?,Andorra,Monaco,Andorra,San Marino,Liechtenstein
multiple,easy,Geography,The Alps are a mountain range on which continent?,Europe,Africa,North America,Asia,Europe
multiple,easy,Entertainment: Film,The Queen song `A Kind Of Magic` is featured in which 1986 film?,Highlander,Highlander,Labyrinth,Flash Gordon,Howard the Duck
boolean,medium,Animals,The Platypus is a mammal.,True,True,,False,
multiple,easy,Entertainment: Video Games,What is the protagonist's title given by the demons in DOOM (2016)?,Doom Slayer,Doom Reaper,Doom Marine,Doom Guy,Doom Slayer
multiple,medium,Entertainment: Cartoon & Animations,The stop motion comedy show 'Robot Chicken' was created by which of the following?,Seth Green,Seth MacFarlane,Seth Rogen,Seth Rollins,Seth Green
multiple,medium,Entertainment: Japanese Anime & Manga,"In Haikyuu!!, who is not a member of Karasuno VBC?",Shigeru Yahaba,Tadashi Yamaguchi,Kazuhito Narita,Shigeru Yahaba,Hisashi Kinoshita
multiple,medium,Entertainment: Music,Which singer was featured in Swedish producer Avicii's song 'Wake Me Up'?,Aloe Blacc,Aloe Blacc,CeeLo Green,John Legend,Pharrell Williams
multiple,medium,Entertainment: Film,Who performed the opening theme song for the James Bond 007 movie 'Goldfinger'?,Shirley Basey,Tom Jones,John Barry,Sheena Easton,Shirley Basey
multiple,easy,Entertainment: Video Games,Which of these is NOT a map included in the game Counter-Strike: Global Offensive?,Oilrig,Oilrig,Assault,Mirage,Cache
multiple,hard,History,"In the year 1900, what were the most popular first names given to boy and girl babies born in the United States?",John and Mary,John and Mary,George and Anne,William and Elizabeth,Joseph and Catherine
multiple,medium,Entertainment: Video Games,"In 'Overwatch,' what is the hero McCree's full name?",Jesse McCree,Gabriel Reyes,Jamison 'Deadeye' Fawkes,Jesse McCree,Jack 'McCree' Morrison
boolean,medium,General Knowledge,Coca-Cola's original colour was green.,False,,True,,False
multiple,medium,Entertainment: Film,In what year was the first Transformers movie released?,1986,2009,1986,2007,1984
multiple,medium,Entertainment: Cartoon & Animations,What is the name of Ruby Rose's weapon from RWBY?,Crescent Rose,Crescent Rose,Thorned Rosebud,Magnhild,Crooked Scythe
multiple,medium,Entertainment: Music,When was the 3rd album 'Notes from the Underground' of the band 'Hollywood Undead' released?,2013,2014,2009,2013,2011
multiple,hard,Entertainment: Film,"In 'Star Trek Nemesis', why was Praetor Shinzon created?",To replace Picard as a Romulan Agent,To replace Picard as a Romulan Agent,To become Picard's friend ,To destroy the Enterprise,To steal the Enterprise
multiple,medium,Entertainment: Books,"By what nickname is Jack Dawkins known in the Charles Dickens novel, 'Oliver Twist'?",The Artful Dodger,Mr. Fang,Fagin,Bull&rsquo;s-eye,The Artful Dodger
multiple,medium,Entertainment: Film,"Ed Koch, the Mayor of New York in 1984, played himself in which Muppets movie?",The Muppets Take Manhattan,The Muppets Take Manhattan,The Great Muppet Caper,The Muppet Christmas Carol,The Muppet Movie
multiple,hard,Politics,What year did the effort to deploy the Common Core State Standards (CCSS) in the US begin?,2009,2006,1997,2012,2009
multiple,hard,Sports,Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?,Vladivostok,Yekaterinburg,Vladivostok,Kaliningrad,Rostov-on-Don
boolean,easy,Science: Computers,"In most programming languages, the operator ++ is equivalent to the statement '+= 1'.",True,False,,,True
multiple,medium,Entertainment: Video Games,"In the 'Portal' series, who was Cave Johnson's personal assistant?",Caroline,Caroline,Melissa,Heather,Jane
multiple,easy,Sports,How many soccer players should be on the field at the same time?,22,26,24,22,20
boolean,easy,Vehicles,BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.,True,,,True,False
multiple,easy,Science & Nature,71% of the Earth's surface is made up of,Water,Continents,Forests,Deserts,Water
multiple,easy,Entertainment: Video Games,"In Undertale, what's the prize for answering correctly?",More questions,New car,Money,Mercy,More questions
multiple,easy,Art,Who painted the Sistine Chapel?,Michelangelo,Raphael,Pablo Picasso,Michelangelo,Leonardo da Vinci
multiple,medium,Science & Nature,"To the nearest minute, how long does it take for light to travel from the Sun to the Earth?",8 Minutes,8 Minutes,12 Minutes,6 Minutes,2 Minutes
multiple,medium,Entertainment: Video Games,"In the 'S.T.A.L.K.E.R.' series, which of these items can't be used to lower the player's accumulated radiation?",Radioprotectant,Anti-rad,Medkit,Vodka,Radioprotectant
multiple,easy,Animals,How many teeth does an adult rabbit have?,28,24,30,26,28
boolean,easy,Entertainment: Video Games,"In 'Super Mario 3D World', the Double Cherry power-up originated from a developer accidentally making two characters controllable.",True,,False,True,
multiple,medium,Vehicles,"Which animal features on the logo for Abarth, the motorsport division of Fiat?",Scorpion,Snake,Bull,Scorpion,Horse
multiple,hard,Geography,What is the largest city and commercial capital of Sri Lanka?,Colombo,Moratuwa,Negombo,Colombo,Kandy
boolean,easy,Geography,St. Louis is the capital of the US State Missouri.,False,,,True,False
multiple,hard,Entertainment: Musicals & Theatres,"In Les Mis&eacute;rables, who is Prison Code 24601?",Jean Valjean,Jean Claude Van Damme,Marius Pontmercy,Javert,Jean Valjean
multiple,easy,Entertainment: Comics,Which universe crossover was introduced in the 'Sonic the Hedgehog' comic issue #247?,Mega Man,Super Monkey Ball,Mega Man,Alex Kidd,Super Mario Brothers
multiple,medium,Entertainment: Music,The Proclaimers - I'm Gonna Be (500 Miles) reached what position on the US Hot 100 Charts in 1993?,3rd,5th,3rd,1st,8th
multiple,hard,General Knowledge,What is the most commonly used noun in the English language?,Time,Water,Home,Time,Man
multiple,hard,General Knowledge,What was Bank of America originally established as?,Bank of Italy,Bank of Italy,Bank of Charlotte,Bank of Pennsylvania,Bank of Long Island
multiple,easy,Entertainment: Japanese Anime & Manga,In the anime Seven Deadly Sins what is the name of one of the sins?,Diane,Sheska,Ayano,Sakura,Diane
multiple,medium,Entertainment: Video Games,How many times do you fight the Imprisoned in The Legend of Zelda: Skyward Sword?,3,3,2,4,5
multiple,medium,History,What is the mnemonic device for remembering the fates of the wives of Henry VIII?,"Divorced, Beheaded, Died, Divorced, Beheaded, Survived","Beheaded, Died, Divorced, Divorced, Beheaded, Survived","Survived, Beheaded, Died, Divorced, Divorced, Beheaded","Divorced, Beheaded, Died, Divorced, Beheaded, Survived","Died, Beheaded, Divorced, Beheaded, Survived, Divorced"
multiple,medium,Entertainment: Film,What is the name of the dog that played Toto in the 1939 film 'The Wizard of Oz'?,Terry,Tommy,Teddy,Terry,Toto
boolean,easy,General Knowledge,Vietnam's national flag is a red star in front of a yellow background.,False,,True,,False
multiple,hard,History,Which day did World War I begin?,July 28,July 28,January 28,April 28,June 28
multiple,easy,Animals,What is the name of a rabbit's abode?,Burrow,Den,Burrow,Nest,Dray
multiple,medium,History,When did Jamaica recieve its independence from England? ,1962,1962,1963,1987,1492
multiple,easy,General Knowledge,What is the name of the Jewish New Year?,Rosh Hashanah,New Year,Succoss,Elul,Rosh Hashanah
multiple,easy,General Knowledge,What is Tasmania?,An Australian State,A flavor of Ben and Jerry's ice-cream,A Psychological Disorder,An Australian State,The Name of a Warner Brothers Cartoon Character
multiple,medium,Entertainment: Video Games,Which of these games was NOT a Nintendo Switch launch title in the United States? ,Voez,Fast RMX,Just Dance 2017,Voez,Snipperclips
multiple,easy,Art,Who painted the biblical fresco The Creation of Adam?,Michelangelo,Caravaggio,Rembrandt,Michelangelo,Leonardo da Vinci
multiple,medium,General Knowledge,Frank Lloyd Wright was the architect behind what famous building?,The Guggenheim,The Space Needle,The Guggenheim,Sydney Opera House,Villa Savoye
multiple,medium,Science: Computers,Which of the following is a personal computer made by the Japanese company Fujitsu?,FM-7,Xmillennium ,PC-9801,FM-7,MSX
multiple,medium,Geography,What is the capital of Slovakia?,Bratislava,Ljubljana,Sofia,Sarajevo,Bratislava
multiple,easy,Entertainment: Cartoon & Animations,What is Everest's favorite food in the Nickelodeon/Nick Jr. series 'PAW Patrol'?,Liver,Liver,Caribou,Steak,Chicken
multiple,medium,History,Who was the first explorer to sail to North America?,Leif Erikson,Ferdinand Magellan,Amerigo Vespucci,Leif Erikson,Christopher Columbus
multiple,easy,Science & Nature,The element involved in making human blood red is which of the following?,Iron,Iridium,Cobalt,Copper,Iron
multiple,medium,History,"During the Mongolian invasions of Japan, what were the Mongol boats mostly stopped by?",Typhoons,Economic depression,Tornados,Samurai,Typhoons
multiple,easy,General Knowledge,Which of these colours is NOT featured in the logo for Google?,Pink,Blue,Pink,Green,Yellow
multiple,easy,Entertainment: Video Games,Which water-type Pok&eacute;mon starter was introduced in the 4th generation of the series?,Piplup,Oshawott,Mudkip,Piplup,Totodile
multiple,medium,Entertainment: Television,What episode of 'Mr. Bean' saw him trying to prevent people from seeing him naked?,Mr. Bean in Room 426,Mr. Bean in Room 426,The Trouble with Mr. Bean,Back to School Mr. Bean,Mr. Bean Goes to Town
multiple,medium,Geography,All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,Urutora,Washington,Urutora,London,Rungata
multiple,easy,Entertainment: Television,Which of these characters in 'Stranger Things' has the power of Telekinesis?,Eleven,Lucas,Karen,Mike,Eleven
multiple,medium,Entertainment: Books,What is the fourth book of the Old Testament?,Numbers,Genesis,Leviticus,Exodus,Numbers
multiple,medium,Entertainment: Video Games,"Of the following space shooter games, which came out first?",Space Invaders,Sinistar,Space Invaders,Galaga,Galaxian
multiple,easy,Science: Mathematics,"In Roman Numerals, what does XL equate to?",40,90,60,40,15
multiple,hard,Entertainment: Books,What is Ron Weasley's middle name?,Bilius,Dominic,Bilius,Arthur,John
boolean,medium,Entertainment: Film,There aren't any live-action clones in 'Star Wars: Episode III - Revenge of the Sith'.,True,True,,,False
